officeNumber,name,address1,address2,city,stateCode,zip,countryCode,phone,secondPhone,thirdPhone,fax,secondFax,thirdFax,contact,contactType,activeDate,termDate,deletedDate,futureTerm,centralLabCode,shipAddress1,shipAddress2,shipCity,shipStateCode,shipZip,shipCountryCode,doesEyeExams,dispensesGlases,inMedicare,ownLab,ownFrames,groupMedicareId,groupMedicaidId,groupMedicaidSt,groupMedicaidId2,groupMedicaidSt2,groupNpiPrefix,groupNpiNumber,run_id,case_id
"""10023""","""Test 10""","""133 test st""","""344 Jacksonville Mall""","""Jacksonville""","""NC""","""64062""","""US""","""9103535687""","""1234567900""","""1345677900""","""6016054437""",null,null,"""Test 10""","""D""",null,null,null,null,"""0""","""Jacksonville Mall""","""344 Jacksonville Mall""","""Jacksonville""","""NC""","""28546""","""US""","""0""","""1""",null,"""1""","""1""",null,"""12345678""",null,null,null,"""80846""","""1366508349""",2444,799319
"""10024""","""Test 11""","""134 test st""","""9500 Mall Rd""","""Morgantown""","""WV""","""64063""","""US""","""3049836355""","""1234567901""","""1345677901""","""6016054437""",null,null,"""Test 11""","""D""",null,null,null,null,"""0""","""Morgantown Mall""","""9500 Mall Rd""","""Morgantown""","""WV""","""26505""","""US""","""1""","""1""",null,"""1""","""1""",null,"""4324734""",null,"""123456789""",null,"""80847""","""1366508350""",2444,799320
"""10024""","""Test 11""","""134 test st""","""9500 Mall Rd""","""Morgantown""","""WV""","""64063""","""US""","""3049836355""","""1234567901""","""1345677901""","""6016054437""",null,null,"""Test 11""","""D""",null,null,null,null,"""0""","""Morgantown Mall""","""9500 Mall Rd""","""Morgantown""","""WV""","""26505""","""US""","""1""","""1""",null,"""1""","""1""",null,"""4324734""",null,"""null""","""12345678""","""80847""","""1366508350""",2444,799321
"""10025""","""Test 12 ""","""135 test st""","""114 Southpark Cir""","""Colonial Hts""","""VA""","""64064""","""US""","""8045243280""","""1234567902""","""1345677902""","""6016054437""",null,null,"""Test 12""","""D""",null,null,null,null,"""0""","""South Park Mall""","""114 Southpark Cir""","""Colonial Hts""","""VA""","""23834""","""US""","""1""","""1""",null,"""1""","""1""",null,"""4324735""",null,null,"""1001 ""","""80848""","""1366508351""",2444,799322
"""10026""","""Test 13 ""","""136 test st""","""1200 Coastal Grand Cir""","""Myrtle Beach""","""SC""","""64065""","""US""",8436264501,"""1234567903""","""1345677903""","""6016054437""",null,null,"""Test 13""","""D""",null,null,null,null,"""0""","""Mall of South Carolina""","""1200 Coastal Grand Cir""","""Myrtle Beach""","""SC""","""29577""","""US""","""1""","""1""",null,1,"""1""",null,"""4324736""",null,null,null,"""54321 ""","""1366508352""",2444,799323
"""10027""","""Test 14 ""","""137 test st""","""4700 N Division""","""Spokane""","""WA""","""64066""","""US""","""5094825593""",null,"""1345677904""","""6016054437""",null,null,"""Test 14""","""D""",null,null,null,null,"""0""","""Northtown Mall""","""4700 N Division""","""Spokane""","""WA""","""99207""","""US""","""1""","""1""",null,"""1""","""1""",null,"""4324737""",null,null,null,"""80850""","""1034567894""",2444,799324
"""1003""","""NameTest15 ""","""138 test st""","""test multiple upload""","""San Antonio""","""TX""","""78229""","""US""","""4042840701""",null,"""1345677905""",null,null,null,"""Test 15""","""M""",null,null,null,null,"""0""","""3580 Memorial Dr""",null,"""Decatur""","""GA""","""30032""","""US""","""1""","""0""",null,"""1""","""1""",null,"""4324738""",null,null,null,null,null,2444,799325
"""10030""","""NameTest 16""","""175 E Houston st""","""175 E Houston st ""","""San Antonio ""","""TX""","""78201""","""US""","""7635723091""",null,"""1345677906""",null,null,null,"""Test 16""","""M""","""01/01/2017""","""01/01/2018""","""01/01/2017""",null,"""1""","""Brookdale Mall""","""1297 Brookdale Center""","""Minneapolis""","""MN""","""55430""","""US""","""1""","""1""",null,"""1""","""1""",null,"""4324739""",null,null,null,"""80840""","""1043317175""",2444,799326
"""10032""","""Test17""",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2444,799327
"""205""","""Test 18""","""141 test st""","""1234 Houston st ""","""Marlborough""","""MA""","""64070""","""US""","""5083576268""",null,"""1345677908""","""5083030656""",null,null,"""Test 18""","""M""",null,null,null,null,"""0""","""Solomon Pond Mall""","""521 Donald Lynch Blvd""","""Marlborough""","""MA""","""1752""","""US""","""1""","""1""",null,"""1""","""1""",null,"""4324741""",null,null,null,"""80842""","""1043317177""",2444,799328
"""10035""","""""","""142 test st""","""""","""""","""""","""""","""""","""""",null,"""1345677909""",null,null,null,"""Test 19""","""M""",null,null,null,null,"""0""","""Northwood Mall""","""7801 Rivers Ave""","""Charleston""","""SC""","""29406""","""US""","""1""","""1""",null,"""1""","""1""",null,"""4324742""",null,null,null,"""80843""","""""",2444,799329
"""10039""",,,,,,,,,,,,,,,,,,,,,,,,,"""56301""","""US""","""1""","""1""",null,"""1""","""1""",null,"""4324743""",null,null,null,"""80844""","""1043317179""",2444,799330
null,"""Test 21""","""144 test st""",null,"""Rockport""","""ME""","""64073""","""US""",2072368879,null,"""1345677911""","""2072363885""",null,null,"""Test 21""","""M""",null,null,null,null,"""R""","""377 COMMERCIAL ST""",null,"""Rockport""","""ME""","""4856""","""US""","""1""",1,null,"""0""","""0""",null,null,null,null,null,null,null,2444,799331
"""100426""","""Test 22""","""145 test st""","""2310 SW Military Dr""","""San Antonio""","""TX""","""64074""","""US""",2109325068,null,"""1345677912""",null,null,null,"""Test 22""","""M""",null,null,null,null,"""0""","""South Park Mall""","""2310 SW Military Dr""","""San Antonio""","""TX""","""78224""","""US""","""1""","""1""",null,"""1""","""1""",null,null,null,null,null,"""80840""","""1720144561""",2444,799332
